PLAN,NUM_PARTS,COINCIDENT_BOUNDARIES,SHANNON_ENTROPY,POWER_ENTROPY,NUM_SPLIT_LOCALITIES,PENNSYLVANIA_FOULS,SYMMETRIC_ENTROPY,NUM_PIECES
2011,108,1583,0.6450986297841543,188.42848534926762,29,6,45015487.012302995,112
GOV,89,660,0.46601417762470315,67.60571610474122,19,1,40503407.2092645,89
TS,87,735,0.4843036254013475,67.82099960541846,16,1,40612850.91536628,88
REMEDIAL,85,596,0.388296726933385,61.84355504064965,14,2,39360589.835866,85
CPCT,84,491,0.40087123902031335,82.28310735257402,13,1,39425539.27515971,84
DEM,114,1193,0.6429067695208663,202.52779042239428,31,10,46021265.66399489,117
GOP,99,967,0.603972964685954,96.1850500959382,22,5,43877667.79327744,106
8th,129,1134,0.6048832247512592,329.7123184502073,42,14,45908408.38976629,138
